MES;2016 [kWh];2017 [kWh];2018 [kWh];2019 [kWh];2020 [kWh];2021 [kWh];2022 [kWh];2023 [kWh];2024 [kWh];2025 [kWh]
Enero;17275865;16976625;16561460;16480897;16519851;15935981;19203850;19577354;19366077;19512631
Febrero;14602824;14282485;14365627;13648591;14602014;12648470;14285398;15934696;16520492;16138664
Marzo;10847416;10545375;10475558;10352543;10198700;11331361;11929904;14010824;12846197;12947965
Abril;10037696;9330222;9093940;8836100;7620117;9403489;10938884;11330689;10782085;12316318
Mayo;9381391;9007085;8820631;8651012;8138327;10043305;11580939;11692677;11837378;11392574
Junio;9419647;9214580;9050833;8751150;8550774;10347119;13205856;12853868;11936013;12603133
Julio;10357521;10449747;10473763;10471956;9350181;12245877;13610660;14255725;13714918;13763464
Agosto;9267503;9414043;9317706;9448558;8715027;11231951;12266507;12536622;11980163;12246228
Septiembre;8609071;8604409;8189558;8604096;8269382;9803629;10828961;11657283;10384024;11007728
Octubre;9007589;9618527;8591539;8615000;8184553;10537527;11438112;11488154;10847544;10725649
Noviembre;8814039;8810451;8730867;8507855;8318575;10101537;10745011;10776198;10304049;
Diciembre;11986422;11566867;11072474;10862627;11715258;12720990;13193495;12811815;12584149;
